"","countries","corr.coef"
"1","AUS",-1440.55966386554
"2","AUT",-3215.83958857644
"3","BEL",-1772.16259984681
"4","CAN",-58.9651759531584
"5","CZE",8.55911330050304
"6","DNK",-622.025293255116
"7","FIN",-621.90764853922
"8","FRA",-3222.65658263306
"9","DEU",-3523.30479835705
"10","GRC",-1995.0731092437
"11","HUN",99.0000000000021
"12","ISL",387.042814242813
"13","IRL",-2529.00866580867
"14","ITA",-3658.62955665024
"15","JPN",-1744.85148448045
"16","KOR",-2977.0934547908
"17","LUX",-2329.3893557423
"18","MEX",-2986.28589743591
"19","NLD",-80.7031713900126
"20","NZL",-1039.10512820515
"21","NOR",-431.130759330761
"22","POL",-128.737854251013
"23","PRT",-2026.08171390014
"24","SVK",222.420689655172
"25","ESP",-2230.38034795927
"26","SWE",-152.925843454787
"27","CHE",-1093.87170087976
"28","TUR",-3223.49022648874
"29","GBR",-1444.29946018893
"30","USA",154.208839406218
"31","BRA",-1939.67044534414
"32","CHL",172.477597840758
"33","CHN",-949.375933075933
"34","EST",-1268.75809083741
"35","IND",-775.928647822872
"36","IDN",-2458.03715143715
"37","ISR",-690.287121129227
"38","RUS",-1105.96791443851
"39","SVN",-378.492172739542
"40","ZAF",-960.646246246248
"41","COL",-3175.79363168836
"42","CRI",-538.674898785409
"43","LVA",32.4613196192163
"44","LTU",-77.5157258064513
